strategy,spans,channel,band,frequency_thz,wavelength_nm,distance_km,launch_power_dbm,ase_psd_w_per_hz,ase_channel_w,ase_receiver_w,ase_01nm_w,nli_w,transceiver_noise_w,total_noise_w,optical_noise_bandwidth_hz,receiver_equivalent_bandwidth_hz,gsnr_db,osnr_01nm_db,ber,evm_percent,q_factor_db,gmi_bits_per_2d_symbol_per_pol,ngmi,air_per_channel_gbps,metric_basis,calibrated_receiver_snr_db,calibrated_receiver_ngmi
flat,1,11,C,193.88766646153843,1546.2172683349609,80.0,0.0,2.6720517646486604e-18,1.0346184432719613e-07,9.405622211563285e-08,3.3506150262443726e-08,9.426885504712668e-07,3.162277660168379e-07,1.3529725386037375e-06,38720000000.0,35200000000.0,28.687110182241774,44.7487546819047,6.055477688978497e-12,6.63798440505302,16.623161233313258,4.0,1.0,256.0,recursive_calibrated_receiver,23.55927544471695,1.0
flat,1,12,C,193.93766646153844,1545.8186306446798,80.0,0.0,2.6810740613079703e-18,1.038111876538446e-07,9.437380695804055e-08,3.363662701126709e-08,9.470014755400063e-07,3.162277660168379e-07,1.3576030485148848e-06,38720000000.0,35200000000.0,28.672271954755114,44.731875605506524,6.152248566400171e-12,6.640256135277979,16.620224892591995,4.0,1.0,256.0,recursive_calibrated_receiver,23.556303364469713,1.0
flat,1,13,C,193.98766646153842,1545.4201984508086,80.0,0.0,2.690227357743982e-18,1.0416560329184699e-07,9.469600299258817e-08,3.376886932776533e-08,9.505676206562341e-07,3.162277660168379e-07,1.3614913896656603e-06,38720000000.0,35200000000.0,28.659851008774616,44.71483480464174,6.23439169564694e-12,6.6421583778774345,16.617766926215506,4.0,1.0,256.0,recursive_calibrated_receiver,23.553815462984588,1.0
flat,1,14,C,194.03766646153844,1545.0219715944893,80.0,0.0,2.6995173850180358e-18,1.0452531314789835e-07,9.502301195263486e-08,3.390295177619222e-08,9.53468043211e-07,3.162277660168379e-07,1.3647188211804729e-06,38720000000.0,35200000000.0,28.64956818944661,44.69762488100631,6.3031884801757966e-12,6.6437335830286814,16.61573208353634,4.0,1.0,256.0,recursive_calibrated_receiver,23.55175582585892,1.0
flat,1,15,C,194.08766646153845,1544.623949917027,80.0,0.0,2.7089500391761604e-18,1.0489054551690093e-07,9.535504137900084e-08,3.4038951143599526e-08,9.557646531664327e-07,3.162277660168379e-07,1.3673474605622715e-06,38720000000.0,35200000000.0,28.641211115986675,44.6802383047831,6.359636089331009e-12,6.645014062075489,16.614078330361984,4.0,1.0,256.0,recursive_calibrated_receiver,23.55008191346087,1.0
flat,1,16,C,194.13766646153843,1544.2261332598914,80.0,0.0,2.7185313980696468e-18,1.0526153573325673e-07,9.569230521205156e-08,3.417694665673954e-08,9.575045821454735e-07,3.162277660168379e-07,1.369424653374363e-06,38720000000.0,35200000000.0,28.634618579145382,44.66266739431602,6.404506424073958e-12,6.646024351208288,16.612773760617358,4.0,1.0,256.0,recursive_calibrated_receiver,23.548761435759417,1.0
flat,1,17,C,194.18766646153844,1543.8285214647144,80.0,0.0,2.7282677390916463e-18,1.0563852685762855e-07,9.603502441602596e-08,3.431702021114741e-08,9.5872318381834e-07,3.162277660168379e-07,1.370985974251204e-06,38720000000.0,35200000000.0,28.629669881984267,44.64490429507443,6.438387436199899e-12,6.646782827108284,16.61179448650212,4.0,1.0,256.0,recursive_calibrated_receiver,23.54777021729378,1.0
flat,1,18,C,194.23766646153842,1543.4311143732916,80.0,0.0,2.738165557829007e-18,1.0602177039913914e-07,9.638342763558104e-08,3.4459256612435334e-08,9.59446101744308e-07,3.162277660168379e-07,1.372057295396727e-06,38720000000.0,35200000000.0,28.62627752656172,44.62694095796859,6.461712115528559e-12,6.647302815948927,16.611123190938628,4.0,1.0,256.0,recursive_calibrated_receiver,23.547090732324836,1.0
flat,1,19,C,194.28766646153844,1543.0339118275813,80.0,0.0,2.7482315876323217e-18,1.064115270731235e-07,9.673775188465773e-08,3.46037438298787e-08,9.596906738264482e-07,3.162277660168379e-07,1.372656191727944e-06,38720000000.0,35200000000.0,28.6243822658926,44.6087691170726,6.474778490831028e-12,6.647593344021818,16.610748148196297,4.0,1.0,256.0,recursive_calibrated_receiver,23.546711113748216,1.0
flat,1,20,C,194.33766646153845,1542.636913669704,80.0,0.0,2.7584728201101095e-18,1.0680806759466344e-07,9.709824326787586e-08,3.4750573262410434e-08,9.594668401698063e-07,3.162277660168379e-07,1.37279284945452e-06,38720000000.0,35200000000.0,28.623949916242537,44.590380266811195,6.477762753808403e-12,6.6476596214916155,16.610662592947797,4.0,1.0,256.0,recursive_calibrated_receiver,23.54662451460044,1.0
