correction_model,spans,wavelength_nm,nearest_grid_channel,nearest_grid_wavelength_nm,wavelength_error_nm,gnpy_gsnr_db,recursive_raw_model_gsnr_db,recursive_raw_residual_db,predicted_residual_correction_db,recursive_corrected_model_gsnr_db,recursive_corrected_residual_db
constant,8,1545.199,114,1545.0219715944893,-0.17702840551078225,19.68,19.40832010708402,-0.27167989291598005,-0.725233333270365,20.133553440354383,0.45355344035438494
constant,8,1554.798,90,1554.636412590036,-0.16158740996411325,19.74,19.127020798001038,-0.6129792019989608,-0.725233333270365,19.8522541312714,0.11225413127140416
wavelength_linear,1,1539.802,127,1539.8636361961098,0.0616361961099301,28.28,27.82906007768924,-0.45093992231076285,-0.46203559876659694,28.291095676455836,0.011095676455834091
wavelength_linear,1,1545.199,114,1545.0219715944893,-0.17702840551078225,28.3,27.672212312862847,-0.6277876871371539,-0.6285366742261519,28.300748987088998,0.0007489870889979544
wavelength_linear,1,1554.798,90,1554.636412590036,-0.16158740996411325,28.36,27.435235389990844,-0.9247646100091558,-0.9246722723985086,28.359907662389354,-9.233761064719737e-05
wavelength_linear,4,1539.802,127,1539.8636361961098,0.0616361961099301,22.62,22.48305801325921,-0.1369419867407906,-0.46203559876659694,22.945093612025808,0.32509361202580633
wavelength_linear,4,1545.199,114,1545.0219715944893,-0.17702840551078225,22.64,22.300399806357824,-0.33960019364217686,-0.6285366742261519,22.928936480583975,0.28893648058397503
wavelength_linear,4,1554.798,90,1554.636412590036,-0.16158740996411325,22.7,22.026421247438968,-0.6735787525610313,-0.9246722723985086,22.951093519837478,0.2510935198374773
wavelength_linear,8,1539.802,127,1539.8636361961098,0.0616361961099301,19.67,19.596129338848613,-0.07387066115138907,-0.46203559876659694,20.05816493761521,0.3881649376152079
wavelength_linear,8,1545.199,114,1545.0219715944893,-0.17702840551078225,19.68,19.40832010708402,-0.27167989291598005,-0.6285366742261519,20.03685678131017,0.35685678131017184
wavelength_linear,8,1554.798,90,1554.636412590036,-0.16158740996411325,19.74,19.127020798001038,-0.6129792019989608,-0.9246722723985086,20.051693070399548,0.31169307039954774
span_log_linear,1,1539.802,127,1539.8636361961098,0.0616361961099301,28.28,27.82906007768924,-0.45093992231076285,-0.9573894249160754,28.786449502605315,0.5064495026053125
span_log_linear,1,1545.199,114,1545.0219715944893,-0.17702840551078225,28.3,27.672212312862847,-0.6277876871371539,-0.9573894249160754,28.629601737778923,0.32960173777892143
span_log_linear,1,1554.798,90,1554.636412590036,-0.16158740996411325,28.36,27.435235389990844,-0.9247646100091558,-0.9573894249160754,28.39262481490692,0.0326248149069196
span_log_linear,4,1539.802,127,1539.8636361961098,0.0616361961099301,22.62,22.48305801325921,-0.1369419867407906,-0.6788021149412229,23.161860128200434,0.5418601282004323
span_log_linear,4,1545.199,114,1545.0219715944893,-0.17702840551078225,22.64,22.300399806357824,-0.33960019364217686,-0.6788021149412229,22.979201921299047,0.339201921299046
span_log_linear,4,1554.798,90,1554.636412590036,-0.16158740996411325,22.7,22.026421247438968,-0.6735787525610313,-0.6788021149412229,22.705223362380192,0.00522336238019161
