spans,wavelength_nm,nearest_grid_channel,nearest_grid_wavelength_nm,wavelength_error_nm,gnpy_gsnr_db,recursive_raw_model_gsnr_db,recursive_raw_residual_db
1,1539.802,127,1539.8636361961098,0.0616361961099301,28.28,27.82906007768924,-0.45093992231076285
1,1545.199,114,1545.0219715944893,-0.17702840551078225,28.3,27.672212312862847,-0.6277876871371539
1,1554.798,90,1554.636412590036,-0.16158740996411325,28.36,27.435235389990844,-0.9247646100091558
4,1539.802,127,1539.8636361961098,0.0616361961099301,22.62,22.48305801325921,-0.1369419867407906
4,1545.199,114,1545.0219715944893,-0.17702840551078225,22.64,22.300399806357824,-0.33960019364217686
4,1554.798,90,1554.636412590036,-0.16158740996411325,22.7,22.026421247438968,-0.6735787525610313
8,1539.802,127,1539.8636361961098,0.0616361961099301,19.67,19.596129338848613,-0.07387066115138907
8,1545.199,114,1545.0219715944893,-0.17702840551078225,19.68,19.40832010708402,-0.27167989291598005
8,1554.798,90,1554.636412590036,-0.16158740996411325,19.74,19.127020798001038,-0.6129792019989608
