launch_power_dbm,n_spans,channel,band,wavelength_nm,analytical_gsnr_db,recursive_gsnr_db,delta_recursive_minus_analytical_db
-2.0,1,87,C,1555.846637749595,30.0071874124699,30.0071874124699,0.0
-2.0,1,88,C,1555.4430200586908,30.007224690981037,30.007224690981037,0.0
-2.0,1,89,C,1555.0396117264547,30.007260102653053,30.007260102653053,0.0
-2.0,1,90,C,1554.636412590036,30.007294289687017,30.007294289687017,0.0
-2.0,1,91,C,1554.233422486752,30.00732792874484,30.00732792874484,0.0
-2.0,1,92,C,1553.8306412540899,30.007361747003994,30.007361747003994,0.0
-2.0,1,93,C,1553.4280687297044,30.007396544854352,30.007396544854352,0.0
-2.0,1,94,C,1553.0257047514185,30.007433229405486,30.007433229405486,0.0
-2.0,1,95,C,1552.6235491572234,30.007472866438995,30.007472866438995,0.0
-2.0,1,96,C,1552.2216017852782,30.007516765796062,30.007516765796062,0.0
-2.0,1,97,C,1551.819862473909,30.007566632407958,30.007566632407958,0.0
-2.0,1,98,C,1551.41833106161,30.007624861105352,30.007624861105352,0.0
-2.0,1,99,C,1551.0170073870415,30.00769520093257,30.00769520093257,0.0
-2.0,1,100,C,1550.6158912890319,30.007784652688176,30.007784652688176,0.0
-2.0,1,101,C,1550.2149826065752,30.00791252724564,30.00791252724564,0.0
-2.0,1,102,C,1549.8142811788327,30.00948211438685,30.00948211438685,0.0
-2.0,1,103,C,1549.4137868451314,30.012669911456996,30.012669911456996,0.0
-2.0,1,104,C,1549.0134994449645,30.01583730368873,30.01583730368873,0.0
-2.0,1,105,C,1548.6134188179913,30.018960345408537,30.018960345408537,0.0
-2.0,1,106,C,1548.213544804036,30.02202941300925,30.02202941300925,0.0
-2.0,1,107,C,1547.8138772430889,30.0250386815997,30.0250386815997,0.0
-2.0,1,108,C,1547.4144159753055,30.027983910353253,30.027983910353253,0.0
-2.0,1,109,C,1547.0151608410054,30.03086165702308,30.030861657023074,-7.105427357601002e-15
-2.0,1,110,C,1546.6161116806743,30.03366892328872,30.03366892328872,0.0
-2.0,1,111,C,1546.2172683349609,30.03640296939384,30.03640296939384,0.0
-2.0,1,112,C,1545.8186306446798,30.039061206989878,30.039061206989878,0.0
-2.0,1,113,C,1545.4201984508086,30.04164113232084,30.04164113232084,0.0
-2.0,1,114,C,1545.0219715944893,30.044140281943417,30.044140281943417,0.0
-2.0,1,115,C,1544.623949917027,30.046556201803263,30.046556201803263,0.0
-2.0,1,116,C,1544.2261332598914,30.048886424583458,30.048886424583458,0.0
-2.0,1,117,C,1543.8285214647144,30.051128452341125,30.051128452341125,0.0
-2.0,1,118,C,1543.4311143732916,30.053279742593702,30.053279742593702,0.0
-2.0,1,119,C,1543.0339118275813,30.055337696675018,30.055337696675018,0.0
-2.0,1,120,C,1542.636913669704,30.05729964957562,30.05729964957562,0.0
-2.0,1,121,C,1542.2401197419435,30.059162860728232,30.059162860728232,0.0
-2.0,1,122,C,1541.843529886745,30.060924505357086,30.060924505357086,0.0
