spans,wavelength_nm,nearest_grid_channel,nearest_grid_wavelength_nm,wavelength_error_nm,gnpy_gsnr_db,recursive_raw_model_gsnr_db,recursive_raw_residual_db
1,1535.000023,139,1535.1325735619027,0.13255056190268988,28.53,27.954042451259255,-0.575957548740746
1,1549.999992,102,1549.8142811788327,-0.18571082116727666,28.58,27.510682761321036,-1.0693172386789627
1,1560.000021,77,1559.894365333771,-0.10565566622904043,28.62,27.355226433916954,-1.264773566083047
4,1535.000023,139,1535.1325735619027,0.13255056190268988,22.82,22.629400694653107,-0.1905993053468933
4,1549.999992,102,1549.8142811788327,-0.18571082116727666,22.87,22.113396821493644,-0.7566031785063565
4,1560.000021,77,1559.894365333771,-0.10565566622904043,22.91,21.934436375293167,-0.9755636247068331
8,1535.000023,139,1535.1325735619027,0.13255056190268988,19.85,19.746762799220264,-0.10323720077973775
8,1549.999992,102,1549.8142811788327,-0.18571082116727666,19.9,19.21626921306649,-0.6837307869335092
8,1560.000021,77,1559.894365333771,-0.10565566622904043,19.94,19.0326824503428,-0.9073175496572006
