spans,target_wavelength_nm,nearest_grid_channel,nearest_grid_wavelength_nm,wavelength_error_nm,gnpy_gsnr_db,frozen_raw_model_gsnr_db,current_analytical_raw_model_gsnr_db,current_recursive_raw_model_gsnr_db,frozen_corrected_model_gsnr_db,current_analytical_corrected_model_gsnr_db,current_recursive_corrected_model_gsnr_db,frozen_raw_residual_db,current_analytical_raw_residual_db,current_recursive_raw_residual_db,frozen_corrected_residual_db,current_analytical_corrected_residual_db,current_recursive_corrected_residual_db,recursive_minus_analytical_raw_db,recursive_minus_frozen_raw_db
1,1539.802,127,1539.8636361961098,0.0616361961099301,28.28,30.671,27.82906007768924,27.82906007768924,28.039,25.196598963689237,25.196598963689237,2.391,-0.45093992231076285,-0.45093992231076285,-0.241,-3.0834010363107645,-3.0834010363107645,0.0,-2.841939922310761
1,1545.199,114,1545.0219715944893,-0.17702840551078225,28.3,30.633,27.672212312862847,27.672212312862847,28.048,25.086937169862846,25.086937169862846,2.333,-0.6277876871371539,-0.6277876871371539,-0.252,-3.2130628301371544,-3.2130628301371544,0.0,-2.9607876871371523
1,1554.798,90,1554.636412590036,-0.16158740996411325,28.36,30.605,27.435235389990844,27.435235389990844,28.103,24.933884303990844,24.933884303990844,2.245,-0.9247646100091558,-0.9247646100091558,-0.257,-3.4261156960091554,-3.4261156960091554,0.0,-3.1697646100091568
4,1539.802,127,1539.8636361961098,0.0616361961099301,22.62,25.713,22.064006126475817,22.48305801325921,23.081,19.431545012475816,19.85059689925921,3.093,-0.5559938735241836,-0.1369419867407906,0.461,-3.188454987524185,-2.769403100740792,0.419051886783393,-3.2299419867407906
4,1545.199,114,1545.0219715944893,-0.17702840551078225,22.64,25.654,21.875113226035545,22.300399806357824,23.069,19.289838083035544,19.715124663357823,3.014,-0.7648867739644558,-0.33960019364217686,0.429,-3.3501619169644563,-2.9248753366421774,0.42528658032227895,-3.353600193642176
4,1554.798,90,1554.636412590036,-0.16158740996411325,22.7,25.611,21.594625846882877,22.026421247438968,23.11,19.093274760882878,19.52507016143897,2.911,-1.105374153117122,-0.6735787525610313,0.41,-3.6067252391171216,-3.174929838561031,0.43179540055609067,-3.5845787525610326
8,1539.802,127,1539.8636361961098,0.0616361961099301,19.67,22.78,18.94846362378136,19.596129338848613,20.147,16.31600250978136,16.96366822484861,3.11,-0.7215363762186406,-0.07387066115138907,0.477,-3.3539974902186422,-2.7063317751513907,0.6476657150672516,-3.1838706611513885
8,1545.199,114,1545.0219715944893,-0.17702840551078225,19.68,22.713,18.751989878781494,19.40832010708402,20.128,16.166714735781493,16.82304496408402,3.033,-0.9280101212185059,-0.27167989291598005,0.448,-3.5132852642185064,-2.8569550359159805,0.6563302283025259,-3.3046798929159813
8,1554.798,90,1554.636412590036,-0.16158740996411325,19.74,22.666,18.461947909013226,19.127020798001038,20.165,15.960596823013226,16.625669712001038,2.926,-1.2780520909867725,-0.6129792019989608,0.425,-3.779403176986772,-3.1143302879989605,0.6650728889878117,-3.5389792019989628
