launch_power_dbm,n_spans_target,span,mean_input_power_dbm,mean_output_power_dbm,max_abs_amp_residual_db,mean_accumulated_ase_receiver_w,mean_accumulated_nli_w
-2.0,10,7,-2.0,-2.0,8.881784197001252e-16,1.6993856956627134e-06,2.1102878487976983e-06
-2.0,10,8,-2.0,-2.0,8.881784197001252e-16,1.9421550807573867e-06,2.411757541483084e-06
-2.0,10,9,-2.0,-2.0,8.881784197001252e-16,2.1849244658520603e-06,2.7132272341684694e-06
-2.0,10,10,-2.0,-2.0,8.881784197001252e-16,2.427693850946733e-06,3.014696926853855e-06
0.0,1,1,1.928654933106574e-15,1.928654933106574e-15,0.0,3.557181231213685e-07,1.2362235203327703e-06
0.0,4,1,1.928654933106574e-15,1.928654933106574e-15,0.0,3.557181231213685e-07,1.2362235203327703e-06
0.0,4,2,1.928654933106574e-15,1.928654933106574e-15,0.0,7.11436246242737e-07,2.4724470406655407e-06
0.0,4,3,1.928654933106574e-15,1.928654933106574e-15,0.0,1.0671543693641055e-06,3.7086705609983123e-06
0.0,4,4,1.928654933106574e-15,1.928654933106574e-15,0.0,1.422872492485474e-06,4.944894081331081e-06
0.0,8,1,1.928654933106574e-15,1.928654933106574e-15,0.0,3.557181231213685e-07,1.2362235203327703e-06
0.0,8,2,1.928654933106574e-15,1.928654933106574e-15,0.0,7.11436246242737e-07,2.4724470406655407e-06
0.0,8,3,1.928654933106574e-15,1.928654933106574e-15,0.0,1.0671543693641055e-06,3.7086705609983123e-06
0.0,8,4,1.928654933106574e-15,1.928654933106574e-15,0.0,1.422872492485474e-06,4.944894081331081e-06
0.0,8,5,1.928654933106574e-15,1.928654933106574e-15,0.0,1.7785906156068425e-06,6.1811176016638525e-06
0.0,8,6,1.928654933106574e-15,1.928654933106574e-15,0.0,2.134308738728211e-06,7.4173411219966246e-06
0.0,8,7,1.928654933106574e-15,1.928654933106574e-15,0.0,2.4900268618495798e-06,8.653564642329395e-06
0.0,8,8,1.928654933106574e-15,1.928654933106574e-15,0.0,2.845744984970948e-06,9.889788162662164e-06
0.0,10,1,1.928654933106574e-15,1.928654933106574e-15,0.0,3.557181231213685e-07,1.2362235203327703e-06
0.0,10,2,1.928654933106574e-15,1.928654933106574e-15,0.0,7.11436246242737e-07,2.4724470406655407e-06
0.0,10,3,1.928654933106574e-15,1.928654933106574e-15,0.0,1.0671543693641055e-06,3.7086705609983123e-06
0.0,10,4,1.928654933106574e-15,1.928654933106574e-15,0.0,1.422872492485474e-06,4.944894081331081e-06
0.0,10,5,1.928654933106574e-15,1.928654933106574e-15,0.0,1.7785906156068425e-06,6.1811176016638525e-06
