strategy,spans,distance_km,minimum_gsnr_db,mean_gsnr_db,gsnr_std_db,metric_basis,gross_line_tbps,net_line_tbps,air_tbps,thresholded_net_capacity_tbps,working_channels,working_fraction,minimum_ngmi,mean_ngmi
flat,1,80.0,28.623949916242537,28.81747479457167,0.2555765956858771,recursive_calibrated_receiver,10.496,8.3968,10.496,8.3968,41,1.0,1.0,1.0
flat,2,160.0,26.14508493087905,26.365678701066038,0.29303189928116147,recursive_calibrated_receiver,10.496,8.3968,10.49599999999315,8.3968,41,1.0,1.0,1.0
fixed,1,80.0,26.289992118599187,28.638342662853603,1.4980507464353325,recursive_calibrated_receiver,10.496,8.3968,10.495999999999537,8.3968,41,1.0,1.0,1.0
fixed,2,160.0,23.582239314051307,26.2000263129968,1.698529055346194,recursive_calibrated_receiver,10.496,8.3968,10.495999551169481,8.3968,41,1.0,0.9998688921425757,0.9999874762742463
adaptive,1,80.0,26.289992118599187,28.638342662853603,1.4980507464353325,recursive_calibrated_receiver,10.496,8.3968,10.495999999999537,8.3968,41,1.0,1.0,1.0
adaptive,2,160.0,23.582239314051307,26.2000263129968,1.698529055346194,recursive_calibrated_receiver,10.496,8.3968,10.495999551169481,8.3968,41,1.0,0.9998688921425757,0.9999874762742463
